prompt_number,prompt_title,summary,errors,improvements
1,Knowing Where to Start (junior dev),Validate project structure,identify techs and entry points,None,Add README per language and run examples
2,Find feature code,Search tips and dirs,identify auth-related files,None,Add CONTRIBUTING note about feature locations
3,Domain model senior review,Entity relationships and business terms,None,Add model docs clarifying invariants
4,Understand specific feature (assignment),Execution flow and interactions,None,Centralize assignment rules in service layer
5,Pair programmer guided questions,Acknowledge understanding and ask discovery questions,None,Add docstring for create_task()
6,Data flow for create task,Full path from request to persistence,None,Add request/response examples and integration test
7,Decipher algorithm (scheduling),Breakdown, example, optimizations,None,Add unit tests and heap optimization
8,Rename poorly named code,Suggest better names and pseudocode,None,Add tests and typed signatures
9,Untangle nested logic,Refactor plan and tests,None,Add idempotency checks and central retry policy
10,Docstring generation for calculate_priority,Full docstring with examples,None,Add type annotations
11,API endpoint docs (POST /tasks),Request/response schemas and examples,None,Add JSON Schema/Pydantic and error body examples
12,OpenAPI conversion,OpenAPI YAML with paths and schemas,None,Add pagination and full status enumeration
13,Developer API guide,Getting started, auth, examples,None,Provide Postman collection and quickstart script
14,Comprehensive README,Project overview and run instructions,None,Add badges and architecture diagram
15,Step-by-step integration test guide,Run tests and troubleshooting,None,Provide sample .env and seed script
16,FAQ for contributors,Common questions and run guides,None,Link recurring issues to GitHub
17,Trace error (TypeError),Explain root cause and fixes,None,Add null-checks and explicit 400s
18,Diagnose DB timeouts,Root causes and mitigations,None,Add health checks and circuit breaker
19,Dependency errors (Node),Conflict detection and fixes,None,Pin versions and add CI safety checks
20,Performance bottleneck (sorting),Cache/sort-on-write and profiler suggestions,None,Add benchmarks and CI perf budgets
21,What to test,Testing checklist and priorities,None,Provide concrete example inputs/outputs
22,Testing plan (batch),Unit/integration/e2e plan,None,Add test data generators and CI matrix
23,Improve a test,Make assertions on contract not impl details,None,Convert flakey tests to isolated unit tests
24,TDD guidance,First failing test and minimal implementation,None,Include concrete test example and minimal code
25,Refactor readability,Extract helpers and consolidate validation,None,Propose PR with helper and tests
26,Break complex function,Decompose into smaller functions,None,Refactor incrementally with tests
27,Extract responsibility,Create validate_request() and tests,None,Add schema/type annotations
28,Simplify conditionals,Extract branches and apply Strategy pattern,None,Document fallback behavior
29,Rename vars for readability,Suggest descriptive names,None,Run linter/rename and add tests
30,Add comments and docs,Suggest docstrings and inline comments,None,Add developer note explaining trade-offs
31,Design patterns suggestion,Strategy/Factory/Adapter recommendations,None,Provide small Strategy example
32,Refactor to Strategy,Implement notification strategies,None,Sketch migration plan
33,Architecture improvements,Event-driven + Command + Circuit Breaker,None,Provide rollout and monitoring plan
34,Idiomatic JS suggestions,Use async/await and built-ins,None,Offer before/after snippets
35,Code quality review,Identify smells and fixes,None,Add explicit error propagation and tests
36,Explain Java Streams,Map/filter/reduce examples,None,Provide practice project
37,Java basics for Python devs,Class structure and differences,None,Add side-by-side code comparisons
38,FastAPI basics,Hello world + Pydantic example,None,Suggest CI uvicorn checks
39,FastAPI validation,Pydantic model and validators,None,Recommend read vs write models reuse
40,FastAPI project structure,Suggested file layout and startup examples,None,Add docker-compose for local dev
41,Testing plan conversation,Prioritized test checklist (unit/integration/e2e),None,Add fixtures and deterministic time controls
42,Improve flaky test,Use event-based waits and mocks,None,Add CI stability flags and limits
43,Code smells detection,Identify duplicates and unclear naming,None,Add linting and automated PR suggestions
44,Extract validation,Central validators module and migration,None,Add deprecation warnings during rollout
45,Break large class,Decompose TaskProcessor into focused classes,None,Keep API stable and add integration tests
46,Add Python typing,Incremental typing plan and mypy in CI,None,Provide codemods and typing guidelines
47,Static analysis and linters,ESLint/Prettier and flake8/black/isort,None,Add autofix and PR comment bot
48,DB migration strategy,Backfill script and staged migration,None,Run backfill in batches and verify checksums
49,Feature flagging,Use feature flags with metrics and kill-switch,None,Add audit log and admin controls
